DATE,PAYEMS
7/1/94,114618
8/1/94,114900
9/1/94,115260
10/1/94,115469
11/1/94,115876
12/1/94,116168
1/1/95,116495
2/1/95,116693
3/1/95,116912
4/1/95,117074
5/1/95,117057
6/1/95,117297
7/1/95,117389
8/1/95,117641
9/1/95,117893
10/1/95,118045
11/1/95,118191
12/1/95,118323
1/1/96,118310
2/1/96,118735
3/1/96,119000
4/1/96,119165
5/1/96,119491
6/1/96,119772
7/1/96,120023
8/1/96,120208
9/1/96,120421
10/1/96,120682
11/1/96,120977
12/1/96,121148
1/1/97,121379
2/1/97,121687
3/1/97,121999
4/1/97,122291
5/1/97,122554
6/1/97,122818
7/1/97,123121
8/1/97,123099
9/1/97,123598
10/1/97,123942
11/1/97,124241
12/1/97,124559
1/1/98,124831
2/1/98,125029
3/1/98,125174
4/1/98,125454
5/1/98,125856
6/1/98,126079
7/1/98,126209
8/1/98,126549
9/1/98,126767
10/1/98,126968
11/1/98,127241
12/1/98,127608
1/1/99,127725
2/1/99,128135
3/1/99,128242
4/1/99,128614
5/1/99,128825
6/1/99,129089
7/1/99,129417
8/1/99,129571
9/1/99,129796
10/1/99,130190
11/1/99,130479
12/1/99,130789
1/1/00,131007
2/1/00,131138
3/1/00,131605
4/1/00,131898
5/1/00,132117
6/1/00,132081
7/1/00,132254
8/1/00,132239
9/1/00,132383
10/1/00,132368
11/1/00,132590
12/1/00,132727
1/1/01,132702
2/1/01,132776
3/1/01,132748
4/1/01,132469
5/1/01,132428
6/1/01,132307
7/1/01,132199
8/1/01,132053
9/1/01,131803
10/1/01,131475
11/1/01,131178
12/1/01,131001
1/1/02,130852
2/1/02,130724
3/1/02,130707
4/1/02,130624
5/1/02,130641
6/1/02,130692
7/1/02,130615
8/1/02,130608
9/1/02,130541
10/1/02,130654
11/1/02,130660
12/1/02,130490
1/1/03,130597
2/1/03,130451
3/1/03,130243
4/1/03,130194
5/1/03,130205
6/1/03,130198
7/1/03,130217
8/1/03,130171
9/1/03,130281
10/1/03,130486
11/1/03,130489
12/1/03,130610
1/1/04,130777
2/1/04,130835
3/1/04,131163
4/1/04,131417
5/1/04,131714
6/1/04,131796
7/1/04,131841
8/1/04,131957
9/1/04,132114
10/1/04,132462
11/1/04,132525
12/1/04,132651
1/1/05,132798
2/1/05,133042
3/1/05,133180
4/1/05,133538
5/1/05,133710
6/1/05,133957
7/1/05,134328
8/1/05,134524
9/1/05,134590
10/1/05,134676
11/1/05,135013
12/1/05,135168
1/1/06,135450
2/1/06,135762
3/1/06,136059
4/1/06,136227
5/1/06,136258
6/1/06,136337
7/1/06,136543
8/1/06,136722
9/1/06,136870
10/1/06,136882
11/1/06,137090
12/1/06,137263
1/1/07,137497
2/1/07,137582
3/1/07,137796
4/1/07,137855
5/1/07,138008
6/1/07,138085
7/1/07,138055
8/1/07,138027
9/1/07,138123
10/1/07,138201
11/1/07,138307
12/1/07,138411
1/1/08,138419
2/1/08,138338
3/1/08,138283
4/1/08,138054
5/1/08,137870
6/1/08,137716
7/1/08,137503
8/1/08,137226
9/1/08,136783
10/1/08,136308
11/1/08,135549
12/1/08,134842
1/1/09,134055
2/1/09,133351
3/1/09,132549
4/1/09,131845
5/1/09,131491
6/1/09,131022
7/1/09,130680
8/1/09,130484
9/1/09,130255
10/1/09,130046
11/1/09,130058
12/1/09,129781
1/1/10,129799
2/1/10,129726
3/1/10,129919
4/1/10,130140
5/1/10,130662
6/1/10,130522
7/1/10,130444
8/1/10,130428
9/1/10,130365
10/1/10,130632
11/1/10,130761
12/1/10,130834
1/1/11,130878
2/1/11,131060
3/1/11,131314
4/1/11,131637
5/1/11,131718
6/1/11,131952
7/1/11,132024
8/1/11,132136
9/1/11,132369
10/1/11,132578
11/1/11,132723
12/1/11,132924
1/1/12,133272
2/1/12,133505
3/1/12,133769
4/1/12,133841
5/1/12,133958
6/1/12,134026
7/1/12,134182
8/1/12,134355
9/1/12,134549
10/1/12,134702
11/1/12,134832
12/1/12,135075
1/1/13,135282
2/1/13,135547
3/1/13,135703
4/1/13,135882
5/1/13,136122
6/1/13,136280
7/1/13,136391
8/1/13,136651
9/1/13,136852
10/1/13,137062
11/1/13,137283
12/1/13,137376
1/1/14,137550
2/1/14,137732
3/1/14,137993
4/1/14,138304
5/1/14,138556
6/1/14,138862
7/1/14,139058
8/1/14,139284
9/1/14,139568
10/1/14,139823
11/1/14,140130
12/1/14,140381
1/1/15,140592
2/1/15,140859
3/1/15,140937
4/1/15,141219
5/1/15,141545
6/1/15,141736
7/1/15,141992
8/1/15,142156
9/1/15,142244
10/1/15,142595
11/1/15,142859
12/1/15,143093
1/1/16,143196
2/1/16,143453
3/1/16,143688
4/1/16,143862
5/1/16,143896
6/1/16,144181
7/1/16,144506
8/1/16,144681
9/1/16,144945
10/1/16,145085
11/1/16,145257
12/1/16,145437
1/1/17,145696
2/1/17,145896
3/1/17,145969
4/1/17,146144
5/1/17,146299
6/1/17,146538
7/1/17,146728
8/1/17,146949
9/1/17,146963
10/1/17,147234
11/1/17,147450
12/1/17,147625
1/1/18,147801
2/1/18,148125
3/1/18,148280
4/1/18,148439
5/1/18,148662
