WINNING_TEAM, LOSING_TEAM
Georgetown,Mt St Mary's
E Illinois,Houston Bap
San Francisco,Columbia
Princeton,Lafayette
Miami OH,James Madison
Colorado St,Washington
Maryland,Ga Southern
Notre Dame,St Francis PA
SF Austin,Tulsa
Boise St,Santa Barbara
Louisiana Tech,ULM
Miami FL,Detroit
WI Green Bay,N Dakota St
Kent,Nebraska
Wyoming,CS Bakersfield
Chattanooga,Kennesaw
F Dickinson,Prairie View
Florida A&M,Presbyterian
Creighton,Arizona St
Ark Little Rock,SMU
Radford,Citadel
Valparaiso,Bethune-Cookman
UNC Wilmington,Wofford
Utah,Wright St
BYU,CS Northridge
Texas St,UC Riverside
UNLV,Iowa St
St John's,FL Gulf Coast
IL Chicago,SE Missouri St
TX Pan American,Edwardsville
Cincinnati,Oregon
St Louis,S Illinois
Pepperdine,UC Irvine
Holy Cross,New Hampshire
Florida Intl,Coastal Car
Utah St,Weber St
Navy,Delaware St
NJIT,S Carolina St
VMI,Elon
Dayton,Manhattan
Northern Arizona,Campbell
Charlotte,Northeastern
Marshall,Nevada
South Carolina,Missouri St
Murray St,Old Dominion
Stony Brook,Canisius
Loyola-Chicago,N Illinois
UT Arlington,Samford
Wisconsin,Arkansas
Cornell,Longwood
St Bonaventure,Niagara
Memphis,Northern Iowa
Duke,Louisville
Jacksonville,WI Milwaukee
IPFW,Dartmouth
Col Charleston,Baylor
St Francis NY,Brown
Jacksonville St,NC A&T
George Mason,Boston Univ
FL Atlantic,American Univ
Yale,Army
Hartford,Central Conn
CS Sacramento,Cent Arkansas
Tulane,Southern Univ
Minnesota,Stanford
TCU,UAB
Missouri,VA Commonwealth
Northwestern,Illinois St
Belmont,Oral Roberts
Wagner,NC Central
C Michigan,Idaho St
NE Omaha,Chicago St
Montana,San Diego
Savannah St,W Illinois
Indiana,Ball St
Arkansas St,Lamar
Syracuse,Colgate
Mercer,Furman
Vanderbilt,UTEP
Oklahoma St,Portland St
California,Pacific
Seton Hall,St Peter's
New Mexico,Portland
Colorado,Air Force
Clemson,Marist
Rider,WI Milwaukee
Indiana St,High Point
Lehigh,Sacred Heart
Gonzaga,Davidson
Oregon St,Montana St
South Carolina,Ark Little Rock
Connecticut,Stony Brook
Georgia Tech,St Mary's CA
Long Beach St,Fresno St
Drexel,Rice
Rutgers,UNC Greensboro
Oklahoma,West Virginia
Maine,Siena
Rhode Island,Auburn
San Diego St,USC
Temple,Delaware
Troy,Alabama St
Xavier,Drake
Michigan St,ULL
La Salle,Villanova
Bryant,Boston College
Houston,TAM C. Christi
Cal Poly SLO,UCLA
Illinois,Gardner Webb
UNC Wilmington,Hampton
SMU,Missouri St
Marquette,MD Baltimore Co
Tennessee,Oakland
Notre Dame,Chicago St
Evansville,Alabama A&M
Colorado St,N Colorado
Nicholls St,New Orleans
Texas A&M,Northwestern LA
Kansas,San Jose St
Loyola MD,Towson
Mt St Mary's,G Washington
Murray St,Lipscomb
South Florida,Stetson
East Carolina,Georgia St
Savannah St,Robert Morris
Texas Tech,Jackson St
Morehead St,Norfolk St
Monmouth NJ,Lafayette
Albany NY,Wagner
Alabama,Lamar
Texas,Sam Houston St
Pittsburgh,Howard
Indiana,North Carolina
UAB,Troy
Maryland,Northwestern
Providence,Holy Cross
NC Central,Utah Valley
Mississippi St,Alcorn St
Virginia Tech,Iowa
Nebraska,Wake Forest
Bucknell,Dartmouth
IL Chicago,N Illinois
Lehigh,Quinnipiac
Southern Miss,Denver
Minnesota,Florida St
Vermont,Harvard
Michigan,NC State
DePaul,Fairfield
North Florida,Bethune-Cookman
Bowling Green,Detroit
Colorado,TX Southern
Arizona,Northern Arizona
Louisiana Tech,SE Louisiana
VA Commonwealth,Stetson
E Kentucky,Delaware St
Boston Univ,Coastal Car
Air Force,Jackson St
UNLV,UC Irvine
Wyoming,Santa Barbara
Wichita St,Tulsa
UCLA,CS Northridge
West Virginia,VMI
BYU,Montana
FL Gulf Coast,Samford
Stony Brook,Cornell
St Joseph's PA,American Univ
New Mexico,Mercer
Bradley,C Michigan
Loyola MD,Coppin St
Wofford,Winthrop
Temple,Buffalo
W Carolina,Furman
UT Arlington,North Texas
Arizona St,Ark Pine Bluff
Boise St,Creighton
Illinois,Georgia Tech
Toledo,TAM C. Christi
Purdue,Clemson
Boston College,Penn St
Penn,Binghamton
NC A&T,UNC Greensboro
Iona,Niagara
Stanford,Seattle
Long Island,Columbia
Radford,Hampton
Washington St,Idaho
Richmond,William & Mary
Miami FL,Michigan St
Kent,Youngstown St
SMU,Utah
Cleveland St,Ball St
Wagner,Princeton
Virginia,Wisconsin
Ohio,St Bonaventure
Washington,St Louis
F Dickinson,St Peter's
Elon,Ga Southern
Navy,IPFW
Col Charleston,Charleston So
Duke,Ohio St
Maine,Northeastern
Lafayette,Delaware
Marshall,Morehead St
George Mason,Rhode Island
Loyola-Chicago,Tennessee Tech
S Illinois,Fresno St
S Carolina St,Jacksonville
Cent Arkansas,E Illinois
Utah St,Santa Clara
Weber St,Dayton
S Dakota St,North Dakota
UTEP,New Mexico St
Duquesne,Appalachian St
Massachusetts,Siena
G Washington,James Madison
Prairie View,Houston
Oklahoma,Oral Roberts
Nevada,UC Davis
N Dakota St,NE Omaha
Florida,Marquette
Memphis,TN Martin
North Florida,Florida A&M
St John's,South Carolina
Florida Intl,Arkansas St
Canisius,MD Baltimore Co
Oregon,UT San Antonio
SE Missouri St,New Orleans
Notre Dame,Kentucky
Middle Tenn St,ULL
Missouri KC,IUPUI
Brown,Sacred Heart
La Salle,Rider
South Alabama,FL Atlantic
W Kentucky,ULM
Pepperdine,Montana St
TCU,Southern Utah
Hartford,Yale
Connecticut,New Hampshire
Manhattan,Fordham
Norfolk St,St Francis NY
Morgan St,Liberty
LSU,Seton Hall
Long Beach St,Loy Marymount
SC Upstate,UNC Asheville
W Illinois,South Dakota
Ark Little Rock,Troy
W Michigan,High Point
Louisiana Tech,Georgia St
Lipscomb,Tennessee Tech
South Florida,Georgia
Drake,Nevada
San Francisco,Montana
Syracuse,Arkansas
Kansas,Oregon St
Utah,Texas St
Oklahoma,Northwestern LA
DePaul,Auburn
E Washington,CS Fullerton
Georgetown,Tennessee
Michigan St,Nicholls St
Lehigh,F Dickinson
Duke,Delaware
Indiana,Coppin St
CS Bakersfield,UT San Antonio
UNC Greensboro,Citadel
Iowa,TAM C. Christi
Creighton,St Joseph's PA
Minnesota,North Florida
Arizona,Texas Tech
Ohio St,N Kentucky
Loyola-Chicago,Furman
SMU,Hofstra
Davidson,Chattanooga
Ark Little Rock,ULM
Iowa St,BYU
Oregon,Ark Pine Bluff
Oral Roberts,Missouri St
South Dakota,IUPUI
Arizona St,CS Sacramento
Fairfield,Austin Peay
North Carolina,UAB
Gonzaga,Pacific
St Mary's CA,Cal Poly SLO
Dayton,N Illinois
Northern Arizona,Sam Houston St
Virginia,WI Green Bay
Missouri,Appalachian St
Texas,UT Arlington
FL Gulf Coast,Loyola MD
S Dakota St,NE Omaha
Butler,Ball St
Stony Brook,E Illinois
Duquesne,Maine
Edwardsville,Chicago St
UNLV,Hawaii
Mississippi,Rutgers
New Hampshire,Brown
Miami FL,Massachusetts
Pittsburgh,Detroit
Albany NY,Siena
Washington St,Portland
Charlotte,East Carolina
Princeton,Kent
Penn St,Penn
Bryant,Army
Long Island,Lafayette
South Alabama,Florida Intl
Tennessee St,Alabama A&M
Texas A&M,Houston
Northern Iowa,WI Milwaukee
Virginia Tech,Oklahoma St
Providence,Mississippi St
Rhode Island,Vermont
American Univ,St Francis PA
Delaware St,MD E Shore
James Madison,Winthrop
Villanova,Vanderbilt
Norfolk St,Savannah St
VA Commonwealth,Belmont
Tulane,Navy
Loy Marymount,Portland St
Rider,Drexel
Baylor,Kentucky
Samford,Ga Southern
Harvard,Fordham
Wright St,Morehead St
Youngstown St,Bowling Green
New Mexico,Indiana St
William & Mary,Old Dominion
San Diego St,UCLA
St John's,NJIT
Boston Univ,St Peter's
Dartmouth,Longwood
Temple,Wagner
San Jose St,Montana St
Michigan,Bradley
Florida A&M,Bethune-Cookman
Robert Morris,Ohio
Bucknell,Columbia
Hampton,Howard
Rice,Houston Bap
New Mexico St,Southern Miss
Cornell,Colgate
Colorado St,Evansville
FL Atlantic,Arkansas St
Idaho,UC Davis
Wyoming,Colorado
Xavier,Purdue
IL Chicago,Northwestern
UC Riverside,N Colorado
Cleveland St,Toledo
W Illinois,Missouri KC
SF Austin,San Diego
Jacksonville St,Alcorn St
W Michigan,Oakland
NC Central,NC A&T
MD Baltimore Co,Towson
ULL,North Texas
W Kentucky,Troy
Utah Valley,Pepperdine
Louisville,Illinois St
SE Missouri St,SE Louisiana
Hartford,Holy Cross
Marshall,UNC Wilmington
St Bonaventure,Buffalo
Santa Barbara,Santa Clara
Cincinnati,Alabama
Richmond,Wake Forest
Col Charleston,Elon
TN Martin,Kennesaw
E Kentucky,W Carolina
Morgan St,VMI
Mt St Mary's,Binghamton
IPFW,Miami OH
Wisconsin,California
Boise St,Seattle
Kansas St,SC Upstate
St Louis,Valparaiso
Stanford,Denver
G Washington,Manhattan
Clemson,South Carolina
Maryland,George Mason
Akron,Middle Tenn St
Mercer,Florida St
Wichita St,Air Force
C Michigan,Niagara
Washington,CS Fullerton
Georgia St,Liberty
Syracuse,E Michigan
Bethune-Cookman,Stetson
Bowling Green,Wright St
Nebraska,USC
Monmouth NJ,Binghamton
San Diego St,TX Southern
UT Arlington,TX Pan American
Norfolk St,S Carolina St
Fresno St,Long Beach St
Wisconsin,NE Omaha
Louisville,Col Charleston
Belmont,Lipscomb
Army,Marist
Purdue,Lamar
Michigan,W Michigan
Kentucky,Samford
Charleston So,Citadel
Richmond,Old Dominion
Iowa,South Dakota
Minnesota,S Dakota St
Georgetown,Texas
Elon,Dartmouth
Lehigh,Fordham
Tulane,Nicholls St
Missouri,SE Missouri St
San Francisco,St John's
Bucknell,Kent
Harvard,Boston College
St Bonaventure,Siena
Wyoming,Illinois St
San Diego,Southern Utah
St Joseph's PA,Coppin St
Iowa St,FL Gulf Coast
George Mason,MD Baltimore Co
Mississippi St,UT San Antonio
Tennessee St,Drexel
Delaware,Radford
Seton Hall,NJIT
Illinois,W Carolina
Wagner,Hofstra
Georgia Tech,Georgia
Arizona,Southern Miss
UNLV,Portland
New Mexico St,South Alabama
Houston,TCU
E Kentucky,NC Central
Massachusetts,Northeastern
Texas Tech,N Kentucky
